sku_id,sku_key,name,option,group,rg_actual,self_estimate,self_count,rg_inbound,unit_cost,note
2,cp:16195687836:YELLOW,"스위퍼 헤비듀티더스터 교체형 먼지털이 리필형(청소포 17매, 핸들 1개)",YELLOW,g2,0,5,2,0,24950,
3,cp:16322472945:블랙 270,밀레 하이크업 트레킹화 등산화 워킹화,블랙 270,g3,0,7,4,0,49900,2개 옵션 그룹 — 그룹 추정 7을 옵션별로 나눠 적는다
4,cp:16322472945:베이지 240,밀레 하이크업 트레킹화 등산화 워킹화,베이지 240,g3,0,7,2,0,49900,2개 옵션 그룹 — 그룹 추정 7을 옵션별로 나눠 적는다
7,cp:16281930813:혼합색상 / M,강아지 고양이 여름 쿨매트 라탄 쿨링 방석 사계절 침대,혼합색상 / M,g6,0,6,0,0,5576,
9,cp:16285108632:핑크 체크 / L,오염 걱정 없는 양면 방수 펫 쿨매트 (강아지 고양이 겸용),핑크 체크 / L,g8,3,3,0,0,4232,3개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
10,cp:16285108632:핑크 체크 / M,오염 걱정 없는 양면 방수 펫 쿨매트 (강아지 고양이 겸용),핑크 체크 / M,g8,0,3,0,0,4232,3개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
11,cp:16285108632:핑크 체크 / S,오염 걱정 없는 양면 방수 펫 쿨매트 (강아지 고양이 겸용),핑크 체크 / S,g8,3,3,0,0,4232,3개 옵션 그룹 — 그룹 추정 3을 옵션별로 나눠 적는다
13,cp:16269631748:4.5g,"[4회분] 닥터지 저자극 쿨링패치, 마일드업 선패치",4.5g,g10,0,8,8,0,4998,
14,cp:16273945706:핑크,"퐁실퐁실 아기 고양이 리본 파우치, 필통",핑크,g11,10,,0,0,,입고 기록 없음 · 2개 옵션 그룹 — 그룹 추정 null을 옵션별로 나눠 적는다 · 무효 판매 1개 — 추정이 부풀었을 수 있다
17,cp:16269612792:260ml,[6개입] 랩노쉬 프로틴 드링크 퍼펙트 미니 초코,260ml,g13,0,10,0,0,8373,무효 판매 15개 — 추정이 부풀었을 수 있다
18,cp:16173790455:330ml,불스원 크리스탈 듀얼코트 셀프 유리막코팅 발수코팅 스프레이,330ml,g14,0,1,1,0,10990,
22,cp:16310684324:블랙,"콜맨 접이식 캠핑 웨건, 손수레, 코스트코 판매제품",블랙,g18,0,1,3,0,71990,
24,cp:16284903958:블루 구름 (베개형 패드) / S,강아지 고양이 쿨매트 L자형 베개 냉감 애견 방석 침대,블루 구름 (베개형 패드) / S,g20,2,,0,0,,입고 기록 없음
25,cp:16284903958:블루 구름 (베개형 패드) / M,강아지 고양이 쿨매트 L자형 베개 냉감 애견 방석 침대,블루 구름 (베개형 패드) / M,g21,0,6,0,0,6701,무효 판매 1개 — 추정이 부풀었을 수 있다
28,cp:16241762355:40g / 화이트머스크&엠버향 + 토마토&리프향,라브아 퍼퓸 방향제 2개입 화이트머스크 + 토마토향,40g / 화이트머스크&엠버향 + 토마토&리프향,g24,0,16,0,0,9995,
29,cp:16209648179:85 8매,"게스 주니어 브리프, 주니어 팬티",85 8매,g25,0,2,0,0,19990,무효 판매 3개 — 추정이 부풀었을 수 있다
30,cp:16209648179:95 8매,"게스 주니어 브리프, 주니어 팬티",95 8매,g26,0,2,0,0,19990,무효 판매 3개 — 추정이 부풀었을 수 있다
31,cp:16209648179:90 8매,"게스 주니어 브리프, 주니어 팬티",90 8매,g27,0,3,0,0,19990,무효 판매 3개 — 추정이 부풀었을 수 있다
32,cp:16162161669:화이트 M,코스트코 커클랜드 반팔 티셔츠 6매 세트 크루넥 라운드넥 태그리스 기본 티셔츠,화이트 M,g28,0,10,0,0,26354,2개 옵션 그룹 — 그룹 추정 10을 옵션별로 나눠 적는다 · 무효 판매 6개 — 추정이 부풀었을 수 있다
33,cp:16162161669:화이트 XL,코스트코 커클랜드 반팔 티셔츠 6매 세트 크루넥 라운드넥 태그리스 기본 티셔츠,화이트 XL,g29,0,13,1,0,26913,무효 판매 9개 — 추정이 부풀었을 수 있다
